"StateFIPS","State","Year","Value","Data Comment","Number of CWS","Concentration"
"04","Arizona","2020","89","","41","Concentration: (0-<=30)"
"04","Arizona","2020","4","","2","Concentration: (>30)"
"04","Arizona","2020","7","","3","Concentration: (not-detected)"
"06","California","2020","72","","180","Concentration: (0-<=30)"
"06","California","2020","18","","44","Concentration: (>30)"
"06","California","2020","10","","25","Concentration: (not-detected)"
"08","Colorado","2020","49","","94","Concentration: (0-<=30)"
"08","Colorado","2020","2","","4","Concentration: (>30)"
"08","Colorado","2020","49","","94","Concentration: (not-detected)"
"09","Connecticut","2020","42","","21","Concentration: (0-<=30)"
"09","Connecticut","2020","0","","0","Concentration: (>30)"
"09","Connecticut","2020","58","","29","Concentration: (not-detected)"
"12","Florida","2020","37","","42","Concentration: (0-<=30)"
"12","Florida","2020","1","","1","Concentration: (>30)"
"12","Florida","2020","62","","70","Concentration: (not-detected)"
"19","Iowa","2020","38","","3","Concentration: (0-<=30)"
"19","Iowa","2020","0","","0","Concentration: (>30)"
"19","Iowa","2020","63","","5","Concentration: (not-detected)"
"20","Kansas","2020","85","","17","Concentration: (0-<=30)"
"20","Kansas","2020","10","","2","Concentration: (>30)"
"20","Kansas","2020","5","","1","Concentration: (not-detected)"
"21","Kentucky","2020","16","","5","Concentration: (0-<=30)"
"21","Kentucky","2020","0","","0","Concentration: (>30)"
"21","Kentucky","2020","84","","27","Concentration: (not-detected)"
"24","Maryland","2020","27","","3","Concentration: (0-<=30)"
"24","Maryland","2020","0","","0","Concentration: (>30)"
"24","Maryland","2020","73","","8","Concentration: (not-detected)"
"25","Massachusetts","2020","47","","7","Concentration: (0-<=30)"
"25","Massachusetts","2020","7","","1","Concentration: (>30)"
"25","Massachusetts","2020","47","","7","Concentration: (not-detected)"
"27","Minnesota","2020","25","","4","Concentration: (0-<=30)"
"27","Minnesota","2020","0","","0","Concentration: (>30)"
"27","Minnesota","2020","75","","12","Concentration: (not-detected)"
"29","Missouri","2020","36","","19","Concentration: (0-<=30)"
"29","Missouri","2020","0","","0","Concentration: (>30)"
"29","Missouri","2020","64","","34","Concentration: (not-detected)"
"33","New Hampshire","2020","65","","105","Concentration: (0-<=30)"
"33","New Hampshire","2020","3","","5","Concentration: (>30)"
"33","New Hampshire","2020","32","","52","Concentration: (not-detected)"
"34","New Jersey","2020","33","","17","Concentration: (0-<=30)"
"34","New Jersey","2020","0","","0","Concentration: (>30)"
"34","New Jersey","2020","67","","34","Concentration: (not-detected)"
"35","New Mexico","2020","82","","45","Concentration: (0-<=30)"
"35","New Mexico","2020","13","","7","Concentration: (>30)"
"35","New Mexico","2020","5","","3","Concentration: (not-detected)"
"36","New York","2020","59","","54","Concentration: (0-<=30)"
"36","New York","2020","0","","0","Concentration: (>30)"
"36","New York","2020","41","","38","Concentration: (not-detected)"
"41","Oregon","2020","21","","17","Concentration: (0-<=30)"
"41","Oregon","2020","0","","0","Concentration: (>30)"
"41","Oregon","2020","79","","64","Concentration: (not-detected)"
"42","Pennsylvania","2020","21","","47","Concentration: (0-<=30)"
"42","Pennsylvania","2020","0","","0","Concentration: (>30)"
"42","Pennsylvania","2020","79","","175","Concentration: (not-detected)"
"44","Rhode Island","2020","67","","4","Concentration: (0-<=30)"
"44","Rhode Island","2020","17","","1","Concentration: (>30)"
"44","Rhode Island","2020","17","","1","Concentration: (not-detected)"
"49","Utah","2020","86","","6","Concentration: (0-<=30)"
"49","Utah","2020","14","","1","Concentration: (>30)"
"49","Utah","2020","0","","0","Concentration: (not-detected)"
"50","Vermont","2020","20","","9","Concentration: (0-<=30)"
"50","Vermont","2020","0","","0","Concentration: (>30)"
"50","Vermont","2020","80","","36","Concentration: (not-detected)"
"53","Washington","2020","79","","23","Concentration: (0-<=30)"
"53","Washington","2020","7","","2","Concentration: (>30)"
"53","Washington","2020","14","","4","Concentration: (not-detected)"
"55","Wisconsin","2020","75","","3","Concentration: (0-<=30)"
"55","Wisconsin","2020","0","","0","Concentration: (>30)"
"55","Wisconsin","2020","25","","1","Concentration: (not-detected)"
