"StateFIPS","State","Year","Value","Data Comment","Number of CWS","Concentration"
"04","Arizona","2020","2","","1","Concentration: (>30)"
"06","California","2020","10","","25","Concentration: (>30)"
"08","Colorado","2020","1","","2","Concentration: (>30)"
"09","Connecticut","2020","0","","0","Concentration: (>30)"
"12","Florida","2020","0","","0","Concentration: (>30)"
"19","Iowa","2020","0","","0","Concentration: (>30)"
"20","Kansas","2020","0","","0","Concentration: (>30)"
"21","Kentucky","2020","0","","0","Concentration: (>30)"
"24","Maryland","2020","0","","0","Concentration: (>30)"
"25","Massachusetts","2020","0","","0","Concentration: (>30)"
"27","Minnesota","2020","0","","0","Concentration: (>30)"
"29","Missouri","2020","0","","0","Concentration: (>30)"
"33","New Hampshire","2020","1","","1","Concentration: (>30)"
"34","New Jersey","2020","0","","0","Concentration: (>30)"
"35","New Mexico","2020","2","","1","Concentration: (>30)"
"36","New York","2020","0","","0","Concentration: (>30)"
"41","Oregon","2020","0","","0","Concentration: (>30)"
"42","Pennsylvania","2020","0","","0","Concentration: (>30)"
"44","Rhode Island","2020","17","","1","Concentration: (>30)"
"49","Utah","2020","0","","0","Concentration: (>30)"
"50","Vermont","2020","0","","0","Concentration: (>30)"
"53","Washington","2020","7","","2","Concentration: (>30)"
"55","Wisconsin","2020","0","","0","Concentration: (>30)"
