"StateFIPS","State","Year","Value","Data Comment","Number of CWS","Concentration"
"04","Arizona","2020","0","","1","Concentration: (>60)"
"08","Colorado","2020","0","","1","Concentration: (>60)"
"09","Connecticut","2020","0","","0","Concentration: (>60)"
"12","Florida","2020","1","","8","Concentration: (>60)"
"19","Iowa","2020","0","","0","Concentration: (>60)"
"20","Kansas","2020","1","","5","Concentration: (>60)"
"21","Kentucky","2020","1","","2","Concentration: (>60)"
"23","Maine","2020","1","","1","Concentration: (>60)"
"24","Maryland","2020","0","","1","Concentration: (>60)"
"25","Massachusetts","2020","0","","0","Concentration: (>60)"
"26","Michigan","2020","0","","2","Concentration: (>60)"
"27","Minnesota","2020","0","","1","Concentration: (>60)"
"29","Missouri","2020","0","","3","Concentration: (>60)"
"33","New Hampshire","2020","1","","2","Concentration: (>60)"
"34","New Jersey","2020","0","","0","Concentration: (>60)"
"35","New Mexico","2020","0","","1","Concentration: (>60)"
"36","New York","2020","1","","9","Concentration: (>60)"
"41","Oregon","2020","1","","3","Concentration: (>60)"
"42","Pennsylvania","2020","1","","6","Concentration: (>60)"
"44","Rhode Island","2020","0","","0","Concentration: (>60)"
"49","Utah","2020","0","","0","Concentration: (>60)"
"50","Vermont","2020","1","","3","Concentration: (>60)"
"53","Washington","2020","1","","7","Concentration: (>60)"
"55","Wisconsin","2020","0","","1","Concentration: (>60)"
