"StateFIPS","State","Year","Value","Data Comment","Number of CWS","Concentration"
"04","Arizona","2020","0","","0","Concentration: (>5)"
"06","California","2020","0","","1","Concentration: (>5)"
"08","Colorado","2020","0","","0","Concentration: (>5)"
"09","Connecticut","2020","0","","0","Concentration: (>5)"
"12","Florida","2020","0","","0","Concentration: (>5)"
"19","Iowa","2020","0","","0","Concentration: (>5)"
"20","Kansas","2020","0","","0","Concentration: (>5)"
"21","Kentucky","2020","0","","0","Concentration: (>5)"
"23","Maine","2020","0","","0","Concentration: (>5)"
"24","Maryland","2020","0","","0","Concentration: (>5)"
"25","Massachusetts","2020","0","","0","Concentration: (>5)"
"27","Minnesota","2020","0","","0","Concentration: (>5)"
"29","Missouri","2020","0","","0","Concentration: (>5)"
"33","New Hampshire","2020","0","","0","Concentration: (>5)"
"34","New Jersey","2020","0","","0","Concentration: (>5)"
"35","New Mexico","2020","0","","0","Concentration: (>5)"
"36","New York","2020","0","","0","Concentration: (>5)"
"41","Oregon","2020","0","","0","Concentration: (>5)"
"42","Pennsylvania","2020","0","","0","Concentration: (>5)"
"44","Rhode Island","2020","0","","0","Concentration: (>5)"
"49","Utah","2020","0","","0","Concentration: (>5)"
"50","Vermont","2020","0","","0","Concentration: (>5)"
"53","Washington","2020","0","","0","Concentration: (>5)"
"55","Wisconsin","2020","0","","0","Concentration: (>5)"
