"StateFIPS","State","Year","Value","Data Comment",
"04","Arizona","2020","749","",
"06","California","2020","2,843","",
"08","Colorado","2020","909","",
"09","Connecticut","2020","405","",
"12","Florida","2020","1,619","",
"19","Iowa","2020","1,013","",
"20","Kansas","2020","865","",
"21","Kentucky","2020","439","",
"22","Louisiana","2020","976","",
"23","Maine","2020","382","",
"24","Maryland","2020","462","",
"25","Massachusetts","2020","533","",
"26","Michigan","2020","1,379","",
"27","Minnesota","2020","964","",
"29","Missouri","2020","1,405","",
"33","New Hampshire","2020","659","",
"34","New Jersey","2020","570","",
"35","New Mexico","2020","566","",
"36","New York","2020","2,082","",
"41","Oregon","2020","860","",
"42","Pennsylvania","2020","1,922","",
"44","Rhode Island","2020","92","",
"49","Utah","2020","446","",
"50","Vermont","2020","410","",
"53","Washington","2020","2,104","",
"55","Wisconsin","2020","1,039","",
