,State,Population 2020,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,"Less than a high school diploma, 2017-21","High school diploma only, 2017-21","Some college or associate's degree, 2017-21","Bachelor's degree or higher, 2017-21","Percent of adults with less than a high school diploma, 2017-21","Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21",Estimate of people of all ages in poverty 2020,Estimated percent of people of all ages in poverty 2020,Estimated percent of people age 0-17 in poverty 2020,Estimated percent of related children age 5-17 in families in poverty 2020,Estimate of median household income 2020,Estimated percent of children ages 0 to 4 in poverty 2020 (available for the U.S. and State total only),Year,Year,Percent by Mean Uranium Concentration >30 mg/L,Percent by Mean Arsenic Concentration >10 mg/L,Percent by Mean DI(2-ETHYLHEXYL) PHTHALATE (DEHP) Concentration > 6 mg/L,Percent by Mean Nitrate Concentration >10 mg/L,Region
0,Alabama,147772.91176470587,66715.01470588235,62386.73529411765,4328.279411764706,6.945588235294117,12648.441176470587,30623.79411764706,30356.529411764706,26777.20588235294,15.690656144351832,35.67580410347389,29.756071855942395,18.877467896231884,21016.735294117647,17.55735294117647,25.208823529411767,24.07794117647059,47945.14705882353,23.3,,,,,,,
1,Alaska,47315.54838709677,22379.58064516129,20534.09677419355,1845.483870967742,10.203225806451613,2107.6774193548385,8895.032258064517,10687.032258064517,9560.709677419354,8.892191405693007,35.63279565037583,32.2857663741608,23.189246569770354,4112.222222222223,12.666666666666666,16.607407407407408,15.266666666666666,71074.66666666667,14.2,,,,,,,
2,Arizona,893937.75,432106.3125,398887.4375,33218.875,8.7125,70057.5,140687.25,201329.125,186927.0,14.114824180539031,27.52065312398037,36.03423660211709,22.33028609336351,116569.25,16.06875,21.6625,20.20625,54338.25,19.4,2020.0,2020.0,2.0,6.0,0.0,1.0,Four Corners
3,Arkansas,79250.63157894737,35699.57894736842,33528.18421052631,2171.3947368421054,6.3500000000000005,6545.289473684211,18124.526315789473,15593.894736842105,12928.131578947368,14.39387479818237,39.03829468682941,29.386847122311593,17.180983392676623,11807.0,17.83421052631579,25.11973684210526,23.76578947368421,45769.13157894737,24.0,,,,,,,
4,California,1340278.7457627119,641732.813559322,576158.2033898305,65574.61016949153,9.996610169491525,143594.40677966102,185666.2372881356,258726.88135593222,320387.72881355934,14.51484734643384,23.709699218824714,33.11437436035985,28.661079074381597,149802.2711864407,12.26271186440678,15.366101694915255,14.661016949152541,74261.18644067796,14.6,2020.0,2020.0,10.0,18.0,0.0,2.0,West Coast
5,Colorado,177652.73846153845,94993.0923076923,88457.16923076923,6535.923076923077,6.121538461538461,9249.846153846154,24953.10769230769,35054.61538461538,51882.123076923075,7.993493760608483,26.07220547061498,31.63691546486462,34.297385303911916,15733.76923076923,11.435384615384615,14.875384615384615,13.909230769230769,65739.98461538462,11.6,2020.0,2020.0,1.0,1.0,0.0,0.0,Four Corners
6,Connecticut,801320.8888888889,421729.3333333333,388878.6666666667,32850.666666666664,7.544444444444445,50004.666666666664,145988.66666666666,136266.88888888888,226659.11111111112,7.994817290584188,27.408538664540927,26.015477405281718,38.581166639593164,74096.66666666667,8.977777777777778,10.422222222222222,10.044444444444444,80536.0,11.8,2020.0,2020.0,0.0,1.0,0.0,0.0,Northeast
7,Delaware,494974.0,242906.5,224557.0,18349.5,7.65,30894.0,104964.0,93264.0,116187.0,9.528703094463511,30.911639217290293,27.738436508987938,31.821221179258256,52200.0,11.25,15.7,14.675,69461.75,17.0,,,,,,,
8,District of Columbia,689545.0,389384.0,358370.0,31014.0,8.0,37934.0,75562.0,74761.0,299469.0,7.777727658562389,15.49271517204332,15.32848361580067,61.40107355359362,101959.0,15.0,22.3,23.2,91957.0,19.7,,,,,,,
9,Florida,633476.0882352941,296908.2794117647,272563.29411764705,24344.985294117647,7.1911764705882355,49485.44117647059,125968.5,133644.11764705883,142351.64705882352,13.597364973704568,33.16729221977043,29.31935439576116,23.915988410763845,77724.7794117647,14.75294117647059,21.17205882352941,20.24264705882353,56670.882352941175,17.7,2020.0,2020.0,0.0,0.0,0.0,0.0,
10,Georgia,133898.85,63494.51875,59388.8625,4105.65625,5.9399999999999995,10399.8625,24066.85,24791.175,29190.3125,16.2778715575141,35.09577120096271,28.821137956527686,19.80521928499551,18316.58125,18.049375,25.785625,25.025624999999998,52546.775,20.4,,,,,,,
11,Hawaii,485090.3333333333,264996.2,233191.6,31804.6,13.8,24822.666666666668,91309.66666666667,107202.33333333333,116806.0,7.244900772670662,28.18879538108014,31.73682995579975,32.82947389044946,48472.8,9.7,11.26,10.860000000000001,81611.0,10.0,,,,,,,
12,Idaho,81738.04444444444,39899.48888888889,37721.8,2177.688888888889,5.553333333333334,4652.577777777778,13978.711111111112,18698.266666666666,15345.866666666667,11.923546476920825,30.16611400325247,35.06912372905718,22.84121579076952,8053.177777777778,11.453333333333333,15.002222222222223,13.873333333333333,57917.444444444445,13.4,,,,,,,
13,Illinois,248786.56310679612,123625.69902912622,112254.1359223301,11371.563106796117,7.923300970873787,17190.699029126212,43226.83495145631,48229.2427184466,61545.029126213594,9.62568356955455,34.22820601481626,33.56693803401493,22.57917238161426,26236.019417475727,11.571844660194175,15.227184466019418,14.624271844660194,60386.1359223301,14.1,,,,,,,
